CURSO_ACADEMICO;CENTRO;ESTUDIO;TIPO_ESTUDIO;ALUMNOS_MATRICULADOS;ALUMNOS_NUEVO_INGRESO;PLAZAS_OFERTADAS;ALUMNOS_GRADUADOS;ALUMNOS_ADAPTA_GRADO_MATRI;ALUMNOS_ADAPTA_GRADO_MATRI_NI;ALUMNOS_ADAPTA_GRADO_TITULADO;ALUMNOS_CON_RECONOCIMIENTO;ALUMNOS_MOVILIDAD_ENTRADA;ALUMNOS_MOVILIDAD_SALIDA;CREDITOS_MATRICULADOS;CREDITOS_RECONOCIDOS;DURACION_MEDIA_GRADUADOS;TASA_EXITO;TASA_RENDIMIENTO;TASA_EFICIENCIA;TASA_ABANDONO;TASA_GRADUACION;FECHA_ACTUALIZACION
2018;Escuela Politécnica Superior;1-Ciencias Ambientales;Grado;202;37;60;36;0;0;0;14;4;6;10448.00;369.00;6.06;81.03;70.64;78.23;0.00;0.00;27/09/2020
2018;Facultad de Ciencias de la Salud;1-Enfermería;Grado;608;160;160;134;0;0;0;165;14;13;35748.00;1841.00;4.02;97.23;94.88;97.70;0.00;0.00;27/09/2020
2018;Escuela Universitaria de Enfermería San Jorge de Huesca;1-Enfermería;Grado;199;55;54;49;0;0;0;59;1;0;11849.00;884.00;4.03;97.35;96.49;98.39;0.00;0.00;27/09/2020
2018;Escuela Universitaria de Enfermería de Teruel;1-Enfermería;Grado;135;33;35;33;0;0;0;46;;2;7722.00;324.00;4.27;98.06;97.08;97.85;0.00;0.00;27/09/2020
2018;Facultad de Ciencias Sociales y Humanas de Teruel;1-Bellas Artes;Grado;178;49;50;33;0;0;0;14;21;32;10269.00;218.50;4.52;98.23;90.62;92.49;0.00;0.00;27/09/2020
2018;Facultad de Ciencias Sociales y Humanas de Teruel;1-Psicología;Grado;370;84;85;85;0;0;0;29;19;44;21240.00;598.50;4.35;90.09;86.55;92.90;0.00;0.00;27/09/2020
2018;Facultad de Filosofía y Letras;1-Filosofía;Grado;220;59;60;27;0;0;0;21;30;5;11080.00;397.50;5.36;91.26;67.28;81.25;0.00;0.00;27/09/2020
2018;Facultad de Filosofía y Letras;1-Periodismo;Grado;264;60;60;45;0;0;0;26;43;15;14931.50;399.00;4.25;97.25;92.35;98.26;0.00;0.00;27/09/2020
2018;Facultad de Filosofía y Letras;1-Información y Documentación;Grado;79;19;36;9;0;0;0;8;6;2;3992.00;80.50;5.12;85.56;72.20;86.26;0.00;0.00;27/09/2020
2018;Facultad de Ciencias de la Salud;1-Fisioterapia;Grado;240;59;60;56;0;0;0;9;4;13;14175.00;420.00;4.12;96.23;92.99;96.22;0.00;0.00;27/09/2020
2018;Facultad de Ciencias de la Salud;1-Terapia Ocupacional;Grado;308;78;80;63;1;0;1;9;2;2;17641.50;232.00;4.28;94.73;88.12;91.57;0.00;0.00;27/09/2020
2018;Facultad de Ciencias Sociales y del Trabajo;1-Trabajo Social;Grado;723;182;180;132;9;6;0;59;23;33;42143.00;2247.00;4.31;91.88;84.62;94.72;0.00;0.00;27/09/2020
2018;Escuela de Ingeniería y Arquitectura;1-Ingeniero en Diseño Industrial y Desarrollo de Producto;Grado;329;74;75;55;0;0;0;104;24;23;19386.00;1362.00;4.45;87.29;81.00;88.47;0.00;0.00;27/09/2020
2018;Facultad de Veterinaria;1-Ciencia y Tecnología de los Alimentos;Grado;263;58;60;37;0;0;0;35;10;13;15302.00;1481.50;4.67;89.30;84.08;87.79;0.00;0.00;27/09/2020
2018;Facultad de Ciencias de la Salud y del Deporte;1-Ciencias de la Actividad Física y del Deporte;Grado;311;70;70;62;0;0;0;51;3;19;16854.00;1004.50;4.41;93.83;89.66;94.85;0.00;0.00;27/09/2020
2018;Facultad de Ciencias;1-Geología;Grado;151;47;67;23;0;0;0;10;6;4;8305.50;212.50;5.22;81.11;69.57;82.32;0.00;0.00;27/09/2020
2018;Facultad de Ciencias;1-Óptica y Optometría;Grado;243;58;60;43;0;0;0;6;;8;13748.00;100.00;4.54;87.59;77.77;89.29;0.00;0.00;27/09/2020
2018;Facultad de Educación;1-Magisterio en Educación Primaria;Grado;1122;240;240;231;26;10;18;79;15;45;60082.00;4114.50;4.61;93.64;88.26;92.27;0.00;0.00;27/09/2020
2018;Facultad de Ciencias Humanas y de la Educación;1-Magisterio en Educación Primaria;Grado;549;130;120;112;0;0;0;66;;20;31701.00;2357.00;4.67;90.64;83.18;89.40;0.00;0.00;27/09/2020
2018;Facultad de Ciencias Sociales y Humanas de Teruel;1-Magisterio en Educación Primaria;Grado;402;113;120;77;0;0;0;40;10;4;22958.00;591.00;4.73;88.48;82.09;86.36;0.00;0.00;27/09/2020
2018;Facultad de Educación;1-Magisterio en Educación Infantil;Grado;510;120;120;125;0;0;0;41;12;30;27848.00;1902.00;4.16;95.59;91.80;96.80;0.00;0.00;27/09/2020
2018;Facultad de Ciencias Humanas y de la Educación;1-Magisterio en Educación Infantil;Grado;482;126;120;94;0;0;0;75;1;7;26609.00;3791.00;4.24;89.89;83.95;95.67;0.00;0.00;27/09/2020
2018;Facultad de Ciencias Sociales y Humanas de Teruel;1-Magisterio en Educación Infantil;Grado;365;95;120;80;0;0;0;53;4;11;20348.00;1541.50;4.50;88.44;83.11;89.95;0.00;0.00;27/09/2020
2018;Facultad de Medicina;1-Medicina;Grado;1251;180;180;232;0;0;0;404;62;90;75320.50;7160.00;6.08;97.70;95.17;96.44;0.00;0.00;27/09/2020
2018;Facultad de Ciencias de la Salud y del Deporte;1-Medicina;Grado;93;45;45;0;0;0;0;8;;0;5134.00;295.00;;99.20;98.50;;0.00;0.00;27/09/2020
2018;Facultad de Filosofía y Letras;1-Estudios Clásicos;Grado;72;27;32;3;0;0;0;9;11;3;3714.00;134.00;5.50;79.09;62.34;85.66;0.00;0.00;27/09/2020
2018;Facultad de Filosofía y Letras;1-Estudios Ingleses;Grado;409;96;100;55;0;0;0;26;76;54;22574.00;282.50;4.52;82.12;73.20;91.68;0.00;0.00;27/09/2020
2018;Facultad de Filosofía y Letras;1-Filología Hispánica;Grado;274;63;70;43;0;0;0;75;145;8;14274.00;1281.00;4.94;87.58;74.59;88.46;0.00;0.00;27/09/2020
2018;Facultad de Filosofía y Letras;1-Historia;Grado;589;135;165;85;0;0;0;94;117;19;31035.00;382.50;4.96;89.36;74.60;89.70;0.00;0.00;27/09/2020
2018;Facultad de Filosofía y Letras;1-Historia del Arte;Grado;329;72;120;43;0;0;0;65;38;9;16592.00;704.00;5.53;85.80;68.93;85.97;0.00;0.00;27/09/2020
2018;Facultad de Ciencias;1-Física;Grado;310;72;72;39;0;0;0;65;2;17;17902.50;435.50;4.33;88.91;79.58;91.02;0.00;0.00;27/09/2020
2018;Facultad de Ciencias;1-Biotecnología;Grado;281;68;66;70;0;0;0;89;14;26;16523.00;709.50;4.25;93.88;89.79;96.05;0.00;0.00;27/09/2020
2018;Facultad de Ciencias;1-Matemáticas;Grado;250;66;66;35;0;0;0;36;4;11;13956.50;520.00;5.18;86.97;73.44;80.43;0.00;0.00;27/09/2020
2018;Facultad de Ciencias;1-Química;Grado;594;150;150;78;0;0;0;94;12;34;33077.00;726.50;5.11;81.78;72.41;81.81;0.00;0.00;27/09/2020
2018;Facultad de Ciencias de la Salud y del Deporte;1-Nutrición Humana y Dietética;Grado;261;65;65;44;1;0;1;46;2;4;14366.00;290.50;4.82;91.60;87.58;91.25;0.00;0.00;27/09/2020
2018;Facultad de Ciencias de la Salud y del Deporte;1-Odontología;Grado;172;36;36;27;0;0;0;57;7;4;10082.00;814.00;5.04;95.77;93.96;97.87;0.00;0.00;27/09/2020
2018;Facultad de Veterinaria;1-Veterinaria;Grado;773;145;146;148;0;0;0;123;21;38;45387.00;1069.00;5.49;91.59;87.43;90.63;0.00;0.00;27/09/2020
2018;Facultad de Economía y Empresa;1-Administración y Dirección de Empresas;Grado;1627;392;400;338;10;0;3;541;175;70;88341.50;9578.50;5.48;77.91;66.29;86.71;0.00;0.00;27/09/2020
2018;Facultad de Empresa y Gestión Pública;1-Administración y Dirección de Empresas;Grado;187;34;65;32;14;2;6;48;16;8;8937.00;862.00;5.17;78.62;60.08;81.13;0.00;0.00;27/09/2020
2018;Facultad de Ciencias Sociales y Humanas de Teruel;1-Administración y Dirección de Empresas;Grado;154;25;45;16;0;0;0;27;14;4;7008.00;261.00;5.38;79.30;63.52;90.32;0.00;0.00;27/09/2020
2018;Facultad de Derecho;1-Derecho;Grado;1343;309;308;294;0;0;0;400;79;72;76992.00;5303.00;5.10;83.58;76.00;91.21;0.00;0.00;27/09/2020
2018;Facultad de Economía y Empresa;1-Economía;Grado;737;185;200;90;0;0;0;154;70;18;40170.50;1360.50;5.71;75.76;60.79;78.75;0.00;0.00;27/09/2020
2018;Facultad de Economía y Empresa;1-Finanzas y Contabilidad;Grado;485;129;150;67;0;0;0;102;10;9;25741.00;1482.00;5.55;76.61;61.01;81.86;0.00;0.00;27/09/2020
2018;Facultad de Filosofía y Letras;1-Geografía y Ordenación del Territorio;Grado;142;32;50;29;0;0;0;27;31;3;7917.00;107.00;4.67;93.96;82.92;93.30;0.00;0.00;27/09/2020
2018;Facultad de Empresa y Gestión Pública;1-Gestión y Administración Pública;Grado;101;22;40;14;16;9;4;43;2;0;4091.00;2495.50;5.50;86.58;56.92;83.93;0.00;0.00;27/09/2020
2018;Facultad de Economía y Empresa;1-Marketing e Investigación de Mercados;Grado;577;149;150;86;0;0;0;137;53;23;31195.00;1914.00;5.37;81.81;70.22;83.14;0.00;0.00;27/09/2020
2018;Facultad de Ciencias Sociales y del Trabajo;1-Relaciones Laborales y Recursos Humanos;Grado;746;176;180;114;10;5;6;169;21;15;38717.00;3387.50;5.43;81.82;72.49;86.69;0.00;0.00;27/09/2020
2018;Escuela Universitaria de Turismo de Zaragoza;1-Turismo;Grado;224;57;80;34;3;2;2;56;12;21;12373.00;901.00;5.19;81.16;65.15;87.55;0.00;0.00;27/09/2020
2018;Escuela Politécnica Superior;1-Ingeniería Agroalimentaria y del Medio Rural;Grado;168;31;50;17;7;2;0;144;8;8;8392.00;6911.50;5.77;78.19;62.90;76.25;0.00;0.00;27/09/2020
2018;Escuela Universitaria Politécnica de la Almunia de Doña Godina;1-Ingeniería Civil;Grado;63;6;54;7;1;0;0;19;20;0;2734.00;129.00;5.00;73.15;52.01;88.36;0.00;0.00;27/09/2020
2018;Escuela Universitaria Politécnica de la Almunia de Doña Godina;1-Arquitectura Técnica;Grado;81;6;54;22;3;3;2;31;15;2;2631.00;1681.00;6.62;84.88;59.85;87.35;0.00;0.00;27/09/2020
2018;Escuela Universitaria Politécnica de la Almunia de Doña Godina;1-Ingeniería de Organización Industrial;Grado;133;46;60;17;0;0;0;58;18;1;5298.00;1934.00;6.25;87.55;69.30;71.37;0.00;0.00;27/09/2020
2018;Centro Universitario de la Defensa de Zaragoza;1-Ingeniería de Organización Industrial;Grado;1185;279;303;178;0;0;0;114;;0;56493.00;1387.50;5.26;87.01;86.74;93.39;0.00;0.00;27/09/2020
2018;Escuela de Ingeniería y Arquitectura;1-Ingeniería de Tecnologías Industriales;Grado;732;171;180;126;0;0;0;188;17;59;41389.00;1322.00;4.98;79.45;67.42;83.09;0.00;0.00;27/09/2020
2018;Escuela de Ingeniería y Arquitectura;1-Ingeniería de Tecnologías y Servicios de Telecomunicación;Grado;260;84;90;40;0;0;0;66;3;10;14643.00;478.50;4.91;77.41;62.00;85.60;0.00;0.00;27/09/2020
2018;Escuela de Ingeniería y Arquitectura;1-Ingeniería Electrica;Grado;260;68;91;46;1;0;0;89;14;11;13537.00;1659.00;5.45;79.57;63.38;76.78;0.00;0.00;27/09/2020
2018;Escuela de Ingeniería y Arquitectura;1-Ingeniería Electrónica y Automática;Grado;366;106;120;51;1;0;1;85;6;14;19868.00;1576.50;5.24;71.23;56.79;82.67;0.00;0.00;27/09/2020
2018;Escuela Universitaria Politécnica de Teruel;1-Ingeniería Electrónica y Automática;Grado;75;17;32;11;0;0;0;25;;2;4066.00;302.50;4.86;83.58;72.25;88.74;0.00;0.00;27/09/2020
2018;Escuela de Ingeniería y Arquitectura;1-Ingeniería Informática;Grado;400;98;99;53;0;0;0;98;12;14;21520.00;1444.50;5.11;87.90;76.34;85.20;0.00;0.00;27/09/2020
2018;Escuela Universitaria Politécnica de Teruel;1-Ingeniería Informática;Grado;122;28;35;9;0;0;0;28;;4;6440.00;269.00;6.11;73.94;59.97;73.38;0.00;0.00;27/09/2020
2018;Escuela de Ingeniería y Arquitectura;1-Ingeniería Mecánica;Grado;851;215;240;120;2;0;2;207;22;27;44273.00;2101.50;5.77;73.34;57.82;77.88;0.00;0.00;27/09/2020
2018;Escuela Universitaria Politécnica de la Almunia de Doña Godina;1-Ingeniería Mecatrónica;Grado;233;59;60;22;0;0;0;76;12;4;12230.00;1157.00;5.57;84.39;70.30;77.12;0.00;0.00;27/09/2020
2018;Escuela de Ingeniería y Arquitectura;1-Ingeniería Química;Grado;287;77;90;39;1;0;2;82;18;16;15989.00;1206.00;5.09;74.63;60.65;82.55;0.00;0.00;27/09/2020
2018;Facultad de Filosofía y Letras;1-Lenguas Modernas;Grado;187;48;55;24;0;0;0;6;113;24;10140.00;123.00;4.83;87.14;76.63;93.63;0.00;0.00;27/09/2020
2018;Facultad de Derecho;1-Programa conjunto ADE/Derecho;Grado;468;80;80;0;0;0;0;117;9;49;32036.00;262.50;;94.96;91.64;;0.00;0.00;27/09/2020
2018;Escuela de Ingeniería y Arquitectura;1-Estudios en Arquitectura;Grado;336;68;70;49;0;0;0;76;34;31;19254.00;1155.50;5.71;77.60;67.55;88.53;0.00;0.00;27/09/2020
2018;Facultad de Ciencias;1-Programa conjunto Física-Matemáticas (FisMat);Grado;20;10;10;;0;0;;2;;0;1393.50;142.00;;99.56;97.92;;0.00;0.00;27/09/2020
2018;Facultad de Filosofía y Letras;6-Biblioteconomía y Documentación;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;27/09/2020
2018;Facultad de Derecho;5-Derecho;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;27/09/2020
2018;Facultad de Economía y Empresa;6-Diplomado Ciencias Empresariales;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;27/09/2020
2018;Facultad de Ciencias;6-Estadística;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;27/09/2020
2018;Facultad de Filosofía y Letras;5-Filología Clásica;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;27/09/2020
2018;Facultad de Ciencias;5-Físicas;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;27/09/2020
2018;Facultad de Ciencias;5-Geológicas;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;27/09/2020
2018;Escuela de Ingeniería y Arquitectura;5-Ingeniero de Telecomunicación;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;27/09/2020
2018;Centro Politécnico Superior;5-Ingeniero en Informática;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;27/09/2020
2018;Escuela de Ingeniería y Arquitectura;5-Ingeniero en Informática;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;27/09/2020
2018;Escuela de Ingeniería y Arquitectura;5-Ingeniero Industrial;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;27/09/2020
2018;Escuela de Ingeniería y Arquitectura;6-Ingeniero Técnico en Electrónica Industrial;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;27/09/2020
2018;Facultad de Ciencias;5-Químicas;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;27/09/2020
2018;Facultad de Veterinaria;5-Veterinaria;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;27/09/2020
2018;Facultad de Filosofía y Letras;6-Filología Hispánica;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;27/09/2020
2018;Facultad de Filosofía y Letras;6-Geografía e Historia;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;27/09/2020
2018;Facultad de Ciencias;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;40;0;;;0;0;;1;8;0;1108.00;2.00;;;;;;;27/09/2020
2018;Facultad de Derecho;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;67;0;;;0;0;;0;;0;2211.50;0.00;;;;;;;27/09/2020
2018;Facultad de Filosofía y Letras;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;252;0;;;0;0;;0;;0;9727.00;0.00;;;;;;;27/09/2020
2018;Facultad de Medicina;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;61;0;;;0;0;;0;;0;3827.50;0.00;;;;;;;27/09/2020
2018;Facultad de Veterinaria;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;32;0;;;0;0;;0;;0;1284.00;0.00;;100.00;33.33;;;;27/09/2020
2018;Facultad de Educación;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;19;0;;;0;0;;0;;0;581.00;0.00;;;;;;;27/09/2020
2018;Facultad de Ciencias Sociales y del Trabajo;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;34;0;;;0;0;;0;;0;941.00;0.00;;;;;;;27/09/2020
2018;Facultad de Economía y Empresa;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;171;0;;;0;0;;0;;0;5207.00;0.00;;;;;;;27/09/2020
2018;Escuela de Ingeniería y Arquitectura;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;120;0;;;0;0;;0;;0;3124.50;0.00;;;;;;;27/09/2020
2018;Facultad de Ciencias de la Salud;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;19;0;;;0;0;;0;;0;679.00;0.00;;;;;;;27/09/2020
2018;Escuela Universitaria Politécnica de la Almunia de Doña Godina;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;40;0;;;0;0;;2;;0;1158.00;2.00;;100.00;100.00;;;;27/09/2020
2018;Escuela Universitaria de Turismo de Zaragoza;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;9;0;;;0;0;;0;;0;280.00;0.00;;;;;;;27/09/2020
2018;Escuela Politécnica Superior;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;9;0;;;0;0;;0;;0;246.00;0.00;;;;;;;27/09/2020
2018;Facultad de Ciencias Humanas y de la Educación;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;1;0;;;0;0;;0;;0;60.00;0.00;;;;;;;27/09/2020
2018;Facultad de Empresa y Gestión Pública;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;16;0;;;0;0;;0;;0;584.00;0.00;;;;;;;27/09/2020
2018;Facultad de Ciencias de la Salud y del Deporte;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;14;0;;;0;0;;0;;0;360.00;0.00;;100.00;100.00;;;;27/09/2020
2018;Escuela Universitaria de Enfermería San Jorge de Huesca;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;1;0;;;0;0;;0;;0;34.00;0.00;;;;;;;27/09/2020
2018;Facultad de Ciencias Sociales y Humanas de Teruel;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;56;0;;;0;0;;0;;0;1769.00;0.00;;;;;;;27/09/2020
2018;Escuela de Ingeniería y Arquitectura;5-Ingenierio Químico;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;27/09/2020
2018;Facultad de Economía y Empresa;5-Licenciado en Economía;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;27/09/2020
2018;Facultad de Economía y Empresa;5-Licenciado en Administración y Dirección de Empresas;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;27/09/2020
2018;Facultad de Filosofía y Letras;5-Geografía;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;27/09/2020
2018;Facultad de Ciencias Sociales y Humanas de Teruel;6-Relaciones Laborales;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;27/09/2020
2018;Facultad de Filosofía y Letras;5-Historia;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;27/09/2020
